Month,Total energy (GWh),Average hourly load (MW),Maximum hourly load (MW),Minimum hourly load (MW),Year-over-year average load growth (%),Load factor (%)
Jan-2009,6281,8442,9753,7221,-0.01,0.87
Feb-2009,5627,8373,9465,7321,0,0.89
Mar-2009,6074,8175,9307,6952,0.01,0.88
Apr-2009,5491,7626,8507,6690,-0.02,0.9
May-2009,5519,7418,8375,6454,-0.01,0.89
Jun-2009,5560,7722,8863,6580,0.02,0.87
Jul-2009,5808,7806,9070,6463,-0.01,0.86
Aug-2009,5762,7745,9062,6640,-0.03,0.86
Sep-2009,5514,7659,9108,6489,0,0.84
Oct-2009,5928,7967,8942,6689,0.03,0.89
Nov-2009,5858,8125,9561,7076,0.02,0.85
Dec-2009,6493,8727,10236,7423,0.02,0.85
Jan-2010,6360,8549,9806,7289,0.01,0.87
Feb-2010,5735,8535,9552,7490,0.02,0.89
Mar-2010,6062,8158,9004,7131,0,0.91
Apr-2010,5594,7769,8665,6706,0.02,0.9
May-2010,5736,7709,8716,6766,0.04,0.89
Jun-2010,5673,7879,9160,6728,0.02,0.86
Jul-2010,5971,8025,9343,6641,0.03,0.86
Aug-2010,5984,8043,9214,6947,0.04,0.87
Sep-2010,5660,7861,8733,6851,0.03,0.9
Oct-2010,6000,8064,9090,6894,0.01,0.89
Nov-2010,6238,8652,10146,7254,0.07,0.85
Dec-2010,6710,9018,10196,7596,0.03,0.89
Jan-2011,6652,8940,10226,7682,0.05,0.87
Feb-2011,5976,8893,9978,7642,0.04,0.89
Mar-2011,6478,8719,9990,7493,0.07,0.87
Apr-2011,5827,8092,8796,7138,0.04,0.92
May-2011,5659,7606,8567,6459,-0.01,0.89
Jun-2011,5669,7873,9063,6575,0,0.87
Jul-2011,6157,8276,9552,7020,0.03,0.87
Aug-2011,6215,8354,9455,7186,0.04,0.88
Sep-2011,5900,8195,9376,7120,0.04,0.87
Oct-2011,6102,8202,9112,7137,0.02,0.9
Nov-2011,6324,8772,10064,7564,0.01,0.87
Dec-2011,6641,8926,10186,7679,-0.01,0.88
Jan-2012,6767,9096,10609,7840,0.02,0.86
Feb-2012,6219,8935,9877,7863,0.01,0.91
Mar-2012,6412,8630,9611,7629,-0.01,0.9
Apr-2012,5982,8308,9050,7275,0.03,0.92
May-2012,5947,7993,9018,6951,0.05,0.89
Jun-2012,5735,7965,9185,6828,0.01,0.87
Jul-2012,6375,8568,9885,7154,0.04,0.87
Aug-2012,6341,8523,9878,7272,0.02,0.86
Sep-2012,5862,8142,9098,6990,-0.01,0.9
Oct-2012,6357,8544,9541,7249,0.04,0.9
Nov-2012,6544,9076,10353,7646,0.04,0.88
Dec-2012,7033,9453,10599,8335,0.06,0.89
Jan-2013,6989,9394,10586,8144,0.03,0.89
Feb-2013,6160,9166,10122,8106,0.03,0.91
Mar-2013,6705,9025,9941,7919,0.05,0.91
Apr-2013,6215,8632,9408,7439,0.04,0.92
May-2013,6046,8126,9167,7046,0.02,0.89
Jun-2013,5907,8204,9236,6991,0.03,0.89
Jul-2013,6402,8605,10063,7330,0,0.86
Aug-2013,6442,8658,9835,7480,0.02,0.88
Sep-2013,6110,8486,9909,7220,0.04,0.86
Oct-2013,6427,8639,9854,7353,0.01,0.88
Nov-2013,6741,9350,10677,8001,0.03,0.88
Dec-2013,7307,9821,11139,8460,0.04,0.88
Jan-2014,7127,9580,10758,7856,0.02,0.89
Feb-2014,6578,9788,10902,8497,0.07,0.9
Mar-2014,7026,9456,10695,8263,0.05,0.88
Apr-2014,6358,8830,9783,7577,0.02,0.9
May-2014,6235,8381,9339,7162,0.03,0.9
Jun-2014,6088,8456,9681,7200,0.03,0.87
Jul-2014,6723,9036,10419,7666,0.05,0.87
Aug-2014,6583,8847,10272,7606,0.02,0.86
Sep-2014,6281,8724,9771,7641,0.03,0.89
Oct-2014,6700,9005,9957,7824,0.04,0.9
Nov-2014,6954,9646,11020,8225,0.03,0.88
Dec-2014,7297,9807,11169,8508,0,0.88
Jan-2015,7306,9820,11229,8317,0.03,0.88
Feb-2015,6561,9764,10956,8424,0,0.89
Mar-2015,6946,9349,10743,8060,-0.01,0.87
Apr-2015,6272,8711,9672,7653,-0.01,0.9
May-2015,6233,8378,9312,7203,0,0.9
Jun-2015,6324,8783,10319,7223,0.04,0.85
Jul-2015,6817,9163,10520,7778,0.01,0.87
Aug-2015,6770,9100,10515,7755,0.03,0.87
Sep-2015,6243,8670,9747,7533,-0.01,0.89
Oct-2015,6648,8935,9963,7736,-0.01,0.9
Nov-2015,6820,9459,10836,8154,-0.02,0.87
Dec-2015,7317,9834,10982,8573,0,0.9
Jan-2016,7342,9869,10965,8625,0.01,0.9
Feb-2016,6642,9543,10643,8392,-0.02,0.9
Mar-2016,6837,9201,10159,8056,-0.02,0.91
Apr-2016,6102,8475,9216,7486,-0.03,0.92
May-2016,5844,7855,9512,6595,-0.06,0.83
Jun-2016,6026,8369,10028,6935,-0.05,0.84
Jul-2016,6580,8844,10174,7590,-0.04,0.87
Aug-2016,6678,8975,10244,7713,-0.01,0.88
Sep-2016,6294,8741,9857,7681,0.01,0.89
Oct-2016,6764,9091,10074,7715,0.02,0.9
Nov-2016,6880,9542,10830,8236,0.01,0.88
Dec-2016,7572,10177,11458,8717,0.04,0.89
Jan-2017,7506,10089,11432,8718,0.02,0.88
Feb-2017,6672,9929,11176,8600,0.04,0.89
Mar-2017,7154,9628,10730,8321,0.05,0.9
Apr-2017,6378,8858,9514,7852,0.05,0.93
May-2017,6507,8746,10084,7658,0.11,0.87
Jun-2017,6388,8872,10372,7600,0.06,0.86
Jul-2017,6972,9371,10852,8024,0.06,0.86
Aug-2017,6937,9325,10587,8072,0.04,0.88
Sep-2017,6495,9021,10524,7790,0.03,0.86
Oct-2017,6721,9034,9994,7827,-0.01,0.9
Nov-2017,7231,10030,11098,8682,0.05,0.9
Dec-2017,7610,10229,11473,8872,0.01,0.89
Jan-2018,7656,10290,11697,8930,0.02,0.88
Feb-2018,7036,10470,11333,9338,0.06,0.92
Mar-2018,7432,10003,10932,8952,0.04,0.92
Apr-2018,6687,9288,10239,8032,0.05,0.91
May-2018,6743,9063,10294,7819,0.04,0.88
Jun-2018,6622,9198,10430,7985,0.04,0.88
Jul-2018,7110,9556,11099,8107,0.02,0.86
Aug-2018,7179,9649,11169,8289,0.04,0.86
Sep-2018,6689,9290,10049,8198,0.03,0.92
Oct-2018,7212,9694,10327,8633,0.07,0.94
Nov-2018,7325,10159,11081,9029,0.01,0.92
Dec-2018,7639,10267,11205,9140,0,0.92
Jan-2019,7669,10308,11355,9001,0,0.91
Feb-2019,7183,10689,11471,9552,0.02,0.93
Mar-2019,7370,9919,11094,8640,-0.01,0.89
Apr-2019,6700,9306,9916,8203,0,0.94
May-2019,6775,9106,10023,8131,0.01,0.91
Jun-2019,6685,9284,10471,8211,0.01,0.89
Jul-2019,7058,9486,10760,8326,-0.01,0.88
Aug-2019,7025,9443,10822,8219,-0.02,0.87
Sep-2019,6594,9159,10225,8024,-0.01,0.9
Oct-2019,7022,9438,10562,8287,-0.03,0.89
Nov-2019,7147,9913,11062,8638,-0.02,0.9
Dec-2019,7697,10346,11393,9150,0.01,0.91
